wl;1;2;3;4;5;6
187,723;67,94;82,96;74,08;-8,35;-2,43;104,53
188,202;58,57;91,13;70,29;-9,18;-6,6;81,43
188,68;34,95;90,71;79,79;-36,62;-54,12;45,83
189,159;45,84;78,53;68,72;-13,63;-31,18;55,31
189,637;27,53;95,9;62,67;-11,88;-20,3;87,87
190,115;3,85;88,11;80,34;-28,96;-61,23;88,88
190,594;45,68;108,83;122,68;-53,44;-99,87;85,1
191,072;81,55;141,37;169,44;-74,65;-137,06;123,54
191,55;57,9;46,03;-72,34;29,62;116,22;79,27
192,028;22,83;69,46;8,56;24,66;79,98;140,42
192,507;34,69;79,8;37,06;46,8;79,73;186,54
192,985;82,98;72,12;101,92;44,07;80,87;138,75
193,463;66,19;88,56;121,76;13,36;-15,49;54,43
193,941;-108,38;50,16;246,91;-50,43;-446,41;-214,22
194,419;22,69;2,72;176,61;-32,63;-259,95;-75,06
194,898;-38,53;-2,61;195,68;-134,53;-213,57;-36,19
195,376;-30,82;-1,85;130,23;-98,35;-172,5;-42,15
195,854;95,86;43,59;147,32;-64,67;-111,48;-14,11
196,332;201,43;73,65;236,41;-112,12;-103,26;12,55
196,81;494,06;420,5;878,7;-690,46;-757,63;-264,67
197,288;-10,27;91,84;7,66;169,29;185,4;159,12
197,766;10,89;186,98;49,61;274,14;258,44;253,72
198,244;-24,24;-815,66;-225,67;-1297,45;-1050,08;-1007,93
198,722;-59,69;-277,29;-64,12;-385,83;-260,75;-195,45
199,2;-23,3;-137,56;-0,94;-226,42;-130,14;-63,46
199,677;-36,95;-70,93;-26,14;-155,55;-92,82;-47,96
200,155;-75,83;-73,42;-49,33;-140,47;-88,16;-33,72
200,633;-122,34;-126,85;-23,46;-165,07;-114,54;-24,48
201,111;-103,04;-89,18;-32,29;-142,57;-124,24;-38,96
201,589;-55,14;-37,56;-13,58;-76,69;-84,31;-23,22
202,066;-43,06;-46,61;-1,59;-61,05;-73,76;-23,62
202,544;-26,37;-37,45;5,39;-36,07;-52,67;-23,58
203,022;-23,83;-19,09;17,56;-16,85;-35,94;-8,65
203,5;-39,76;-14,95;12,23;-7,81;-40,52;-8,95
203,977;-60,47;-29,8;5,38;-20,55;-55,98;-34,69
204,455;-61,89;-49,48;-7,23;-30,34;-54,03;-51,48
204,933;-61,67;-59,03;-5,47;-29,19;-49,68;-39,49
205,41;-55,77;-60,77;-9,64;-28,85;-60,44;-41,93
205,888;-45,28;-59,35;-18,6;-37,39;-68,16;-55,95
206,365;-70,94;-85,96;-29,63;-62,69;-78,75;-79,82
206,843;-96,79;-107,44;-34,4;-88,69;-81,26;-95,09
207,32;-82,47;-97,05;-16,43;-86,91;-72,49;-100,75
207,798;-59,79;-59,58;3,76;-67,31;-52,24;-68,29
208,275;-70,17;-60,92;-2,17;-60,56;-57,18;-63,82
208,753;-66,8;-78,53;-6,93;-61,61;-63,26;-63,95
209,23;-29,29;-58,14;-6,84;-37,05;-34,98;-34,17
209,707;-24,53;-44,06;0,94;-24,95;-22,92;-22,82
210,185;-23,56;-37,37;10,01;-17,49;-12,93;-19,29
210,662;-22,61;-29,34;18,18;-9,2;-14,3;-8,86
211,139;-30,95;-29,38;24,23;-5,47;-18,74;-7,52
211,617;-32,54;-22,39;27,13;-1,29;-7,69;6,24
212,094;-33,25;-27,39;23,83;-2,98;-14,24;7,06
212,571;-47,46;-41,02;18,47;-13,77;-21,93;2,85
213,048;-65,25;-53,22;3,28;-28,23;-29,97;0,31
213,526;-62,25;-48,41;-1,65;-37,42;-31,8;1,28
214,003;-50,27;-35,42;10,18;-34,23;-26,04;0,3
214,48;-46,56;-18,42;13,94;-30,4;-23,94;4,13
214,957;-61,26;-19,06;5,29;-45,18;-37,35;4,24
215,434;-55,24;-16,85;-3,67;-58,84;-42,53;-10,89
215,911;-47,71;-11,82;-11,5;-62,99;-31,12;-14,33
216,388;-50,71;-11,68;-17,32;-67,4;-20,4;-16,51
216,865;-47,07;-22,81;-23,67;-77,83;-40,02;-33,05
