wl;1;2;3;4;5;6
187,723;480,99;-97,51;-123,46;-228,37;-580,71;-344,42
188,202;564,83;86,51;-113;-219,75;-528,95;-241,2
188,68;708,55;111,21;-133,34;-227,75;-708,21;-299,97
189,159;451,95;150,24;2,96;-18,79;-303,79;-75,62
189,637;-673,48;181,37;65,23;552,26;1209,17;466,63
190,115;2691,8;-1699,92;-193,95;-1249,7;-4259,17;-2129,12
190,594;375,62;-191,41;-50,89;-125,46;-628,23;-138,19
191,072;-69,16;571,43;346,49;463,12;893,07;181,65
191,55;67,04;74,7;134,7;156,79;169,74;40,21
192,028;93,27;-92,51;106,94;145,9;71,88;-38,97
192,507;-337,88;2706,57;1263,91;2064,11;3303,06;2188,48
192,985;-286,1;132,49;282,2;351,06;343,31;213,37
193,463;499,46;127,12;-212,03;-249,47;-251,23;-109,37
193,941;5255,66;748,5;-2380,33;-2227,54;-6653,21;-1090,38
194,419;161,65;16,93;-2;95,43;-174,57;44,32
194,898;80,8;-31,57;78,03;35,37;-141,04;13,59
195,376;86,71;-66,23;118,07;26,59;-124,59;37,09
195,854;63,18;-5,22;245,49;64,14;-230,18;-3,58
196,332;-75,44;-17,12;-320,84;-112,63;148,71;-4,46
196,81;58,65;26,66;-4,08;67,74;117,06;-13,4
197,288;86,37;1,17;-62,23;-16,69;66,25;-122,36
197,766;111,71;4,87;-19,03;-0,97;4,49;-53,5
198,244;78,64;21,47;-31,55;-27,43;22,57;-55,99
198,722;51,71;47,05;6,17;1,71;45,09;-22
199,2;41,07;54,2;16,74;14,99;35,26;-6,45
199,677;29,87;33,87;6,48;28,23;26,5;5,48
200,155;35,44;41,65;12,02;27,5;31,72;12,7
200,633;30,18;53,65;19,89;16,17;40,85;27,92
201,111;35,82;73,16;21,43;23,27;59,33;22,7
201,589;41,34;75,95;25,68;33,67;73,19;26,94
202,066;38,02;67,73;23,08;26,32;63,14;27,39
202,544;34,61;70,71;15,6;30,93;66,05;31,47
203,022;11,21;61,39;-4,58;24,84;59,26;14,05
203,5;2,25;52,45;-19,71;21,86;50,74;13,8
203,977;10,95;41,59;-26,48;20,99;36,35;16,01
204,455;8,76;32,9;-23,98;30,2;45,96;36,56
204,933;11,89;27,5;3,64;43,34;48,59;39,18
205,41;1,51;21,14;17,75;46,81;42,54;44,57
205,888;-4,46;4,41;15,08;56,65;41,97;33,82
206,365;-15,36;-12,03;12,22;60,78;32,36;28,85
206,843;-7,46;-13,86;14,4;61,8;26,57;31,46
207,32;-10,44;-5,05;11,12;61,76;35,28;38,05
207,798;-6,4;5,84;23,99;51,05;38,23;36,93
208,275;3,71;25,76;29,52;64,36;53,48;64,43
208,753;21,9;34,16;41,82;70,66;51,04;73,42
209,23;7,27;17,2;23,94;70,64;54,87;59,47
209,707;8,49;16,73;25,62;75,14;51,98;40,84
210,185;5,87;41,62;25,52;71,87;65,42;22,48
210,662;39,29;55,96;-2,9;76,9;76,56;9,75
211,139;52,81;100;-25,05;113,66;77,23;27,72
211,617;26,86;88,64;-17,36;84,13;77,65;25,49
212,094;10,56;90,64;-16,51;36,28;59,56;3,38
212,571;10,51;76,88;-4,98;21,71;49,03;-0,84
213,048;17,01;66,87;3,02;17,28;66,7;33,93
213,526;25,84;56,61;27,91;6,94;64,06;29,16
214,003;22,53;66,29;30,07;11,2;69,12;26,47
214,48;39,17;80,03;42,9;24,25;70,47;41,85
214,957;37,45;79,83;45,67;30,09;80,94;50,8
215,434;30,19;58,72;52,15;27,9;75,17;54,64
215,911;15,82;59,02;65,23;30,11;65,98;53,25
216,388;24,32;51,63;62,18;22,59;66,83;46,71
216,865;37,65;59,08;63,57;24,61;71,09;56,77
217,342;37,41;55,68;59,23;35,71;68,05;56,39
217,819;33;48,88;48,97;36,75;69,8;51,38
