wl;1;2;3;4;5;6
187,723;24,45;-31,41;-17,67;-47,07;16,17;63,43
188,202;28,91;-33,51;4,05;-42,93;8,35;52,51
188,68;12,33;-9,24;3,78;-23,96;27,41;45,2
189,159;9,06;-12,81;8,93;-30,02;23,65;50,14
189,637;17,61;-13,24;-3,95;-24,55;21,67;52,99
190,115;20,93;-23,64;-19,27;-37,84;23,23;59,25
190,594;-0,52;-17,17;27,75;-55,44;26,27;72,19
191,072;-2,9;-0,9;105,72;-21,36;67,58;95,52
191,55;290,75;-27,92;-693,89;-388,65;-728,28;-377,35
192,028;81,89;-36,31;-41,79;11,22;-54,79;-24,66
192,507;39,04;-53,54;-18,29;-38,04;-56,43;-4,54
192,985;43,07;-81,75;5,9;-108,58;-2,01;37,78
193,463;34,87;-49,67;56,77;-44,79;22,48;41,98
193,941;-10,57;-33,77;86,89;-9,65;55,14;32,77
194,419;-24,95;-55,95;177,43;-25,4;111,67;48,97
194,898;9,49;-15,12;151,74;-1,54;151,87;49
195,376;120,6;-54,65;284,18;24,26;244,51;52,49
195,854;62,19;-14,38;372,43;4,66;184,11;38,9
196,332;101,94;37,38;455,46;103,89;245,96;61,49
196,81;389,26;-99,39;1344,7;518,65;733,85;16,46
197,288;-311,06;61,67;-701,52;-221,48;-363,2;-136,2
197,766;-270,2;-59,35;-588,67;-184,25;-316,58;-155,74
198,244;-146,1;-2,54;-276,56;-65,84;-131,25;2,22
198,722;-83,68;13,2;-115,88;-29,1;-53,44;24,69
199,2;-99,13;-6,39;-87,57;-42,2;-64,43;12,25
199,677;-113,1;-19,61;-68,13;-23,7;-44,58;15,09
200,155;-88,25;-9,85;-46,87;-18,41;-25,66;2,39
200,633;-51,12;-4,85;-22,6;-6,23;-13,37;-11,7
201,111;-35,75;2,15;-2,68;2,28;-18,19;-16,93
201,589;-9,63;12,54;8,26;13,91;-3,8;-6,9
202,066;-6,02;14,65;5,34;10,9;-1,18;-12,04
202,544;-0,96;12,68;9,69;19,32;4,55;-7,04
203,022;8,61;13,71;10,55;20,12;-4,21;-0,53
203,5;4,25;16,09;5,32;8,08;-8,11;-3,36
203,977;8,99;20,68;-1,28;16,22;-9,76;0,73
204,455;3,15;12,65;-0,28;25,53;-14,27;-1,71
204,933;9,05;18,74;-4,7;21,61;-12,76;-0,77
205,41;6,84;19,11;-2,65;18,13;-16,29;-1,54
205,888;10,19;19,62;-2,56;17,14;-16,03;6,65
206,365;1,49;16,66;-9,35;8,69;-12,93;2,99
206,843;-19,43;13,45;-32,5;-10,63;-38,57;-14,28
207,32;-21,49;2,24;-39,82;-14,94;-53,94;-18,82
207,798;-19,59;-2,46;-51,9;-17,66;-73,16;-24,28
208,275;-18,05;3,01;-28,21;-18,34;-49,32;-19,79
208,753;-12,38;-5,89;-32,16;-13,08;-54,6;-24,35
209,23;-3,56;-13,08;-27,3;-20,92;-37,21;-29,9
209,707;-6,01;-10,99;-35,94;-50,41;-41,37;-35,86
210,185;-11,42;-5,83;-28,55;-57,7;-42,18;-30,34
210,662;-17,88;-9,56;-48,64;-61,03;-38,35;-27,9
211,139;-2,6;-18,14;-39,7;-55,29;-42,64;-30,89
211,617;-3,26;-8,92;-29,14;-58,41;-48,62;-16,25
212,094;-14,54;-20,64;-29,73;-48,03;-52,38;-18,61
212,571;-18,48;-21,65;-29,22;-41,34;-50,68;-18,16
213,048;-37,42;-8,87;-28,55;-40,52;-47,47;-9,57
213,526;-64,53;-5,67;-63,67;-52,36;-60,7;-26,9
214,003;-67,68;-8,18;-71,96;-57,9;-60,66;-45,21
214,48;-103,33;-11,67;-108,39;-56,98;-82,34;-56,06
214,957;-65,63;-2,42;-95,93;-19,15;-61,07;-44,03
215,434;-71,23;-26,66;-105,01;-27,66;-59,86;-59,71
215,911;-55,12;-15,34;-77,58;-0,06;-39,82;-49,77
216,388;-61,12;12,75;-58,03;9,54;-40,3;-28,19
216,865;-58,59;9;-64,82;10,52;-35,42;-33,46
217,342;-62,68;1,72;-78,94;4,78;-46,51;-43,97
217,819;-40,67;4,83;-59,7;2,45;-34,67;-34,57
218,296;-23,55;1,3;-56,3;-7,36;-32,19;-37,22
218,773;-29,23;2,36;-50,98;-11,9;-34,12;-41,58
219,25;-30,64;-1,61;-37,01;-13,12;-37,76;-36,22
219,727;-34,01;0,2;-32,79;-11,34;-40,22;-26,02
220,204;-35,09;-5,55;-36,08;-17,33;-47,23;-31,01
220,681;-38,95;-3,18;-32,38;-19,26;-65,56;-33,06
221,157;-43,4;3,86;-39,18;-22,69;-60,23;-26,98
221,634;-47,31;-10,81;-54,35;-36,59;-62,45;-37,28
222,111;-27,89;-3,76;-39,27;-31,41;-59,84;-26,95
222,588;-16,22;5,77;-31,51;-25,66;-31,54;-0,57
223,064;-25,01;-2,84;-45,88;-40,98;-48,58;2,01
223,541;-25,36;-2,64;-52,21;-37,71;-40,86;15,37
224,018;-12,52;-4,84;-45,88;-26,85;-35,85;28,24
224,494;-5,81;-2,35;-45,49;-21,53;-31,92;33,58
224,971;-9,7;-5,08;-47,9;-20,13;-34,32;25,12
225,448;1,8;7,5;-35,36;-4,66;-17,42;26,47
225,924;12,11;12,79;-33,52;1,14;-8,68;24,92
226,401;16,57;8,23;-28,68;-1,34;-6,13;19,99
226,877;11,8;1,82;-31,8;5,28;-5,72;16,6
227,354;12,62;0,55;-29,91;16,34;-1,5;17,49
227,83;10,55;4,85;-21,79;22,16;0;10,85
228,307;0,65;7,8;-17,36;21,29;3,4;8,1
228,783;0,28;5,93;-8,92;24,53;9,96;3,65
229,26;-0,22;6,99;-9,09;24,29;15,53;6,47
229,736;0,37;11,89;-7,36;24,3;18,21;3,79
230,212;-0,05;10,15;-6,29;18,76;17,26;3,18
230,689;-7,51;7,77;-7,58;12,08;13,75;2,87
231,165;-9,16;6,18;-6,66;8,99;14,78;3,25
231,641;-12,33;5,25;-7,83;5,07;8,16;2,46
232,117;-9,73;4,42;-4,65;4,35;5,62;1,87
232,594;-8,59;1,78;-3,45;0,25;4,93;1,06
233,07;-8,59;0,52;-4,12;-3,42;2,3;1,37
233,546;-4,22;1,18;-5,47;-0,51;2,63;0,66
234,022;-2,75;0,43;-5,84;-0,85;0,39;0,99
234,498;-2,45;0,16;-4,91;-1,1;-1,39;-0,83
234,975;-3,02;-2,39;-5,47;-2,37;-2,13;-2,17
235,451;0,4;-1,24;-2,33;0,58;-0,69;-1,74
235,927;0,97;-1,94;-1,82;0,98;-0,44;-1,81
236,403;0,68;-2,53;-2,04;1,06;-1,3;-0,69
236,879;2,47;-2,37;-1,2;2,91;-0,73;-0,42
237,355;2,9;-1,26;-0,56;2,75;0,6;0,41
237,831;1,76;-1,15;-1,62;2,1;0,38;0,5
238,307;1,79;-1,75;-1,27;2,43;0,71;0,22
238,783;1,3;-2,71;-0,52;2,43;1,48;0,99
239,258;1,18;-2,34;0,64;2,38;1,77;1,35
239,734;1,02;-2,59;-0,03;2,12;0,92;0,75
240,21;0,41;-2,81;-0,29;1,84;0,26;0,75
240,686;0,48;-2,56;-0,12;1,33;0,27;1,15
241,162;0,58;-2,33;-0,11;1,37;0,34;1,95
241,638;-0,09;-2,6;-0,48;1,11;0,08;1,06
242,113;-0,05;-2,14;0,04;0,83;0,37;1,33
242,589;-0,49;-1,97;-0,54;0,33;-0,34;0,73
243,065;-0,41;-2,27;0,05;0,38;-0,67;0,85
243,54;-0,02;-1,8;0,2;0,56;-0,59;0,84
244,016;0,2;-1,19;0,72;0,56;-0,48;0,91
244,492;-0,27;-1,29;-0,07;-0,21;-0,88;0,27
244,967;0,19;-1,13;0,2;-0,2;-0,03;0,56
245,443;0,41;-0,87;0,7;-0,37;0,36;0,85
245,919;0,81;-0,63;0,79;-0,5;0,56;1,11
246,394;0,83;-0,54;0,77;-0,45;0,68;0,9
246,87;0,99;-0,18;0,96;0,03;0,78;0,67
247,345;1,12;-0,13;0,73;0,16;0,53;0,67
247,821;1,41;-0,17;0,65;0,3;0,96;0,93
248,296;1,64;0,07;0,31;0,62;1,49;0,92
248,771;1,67;0,08;0,45;0,65;1,53;0,81
249,247;1,75;0,16;0,66;1,02;1,59;1,1
249,722;1,95;0,48;1,14;1,59;1,82;1,48
250,198;1,9;0,26;1,11;1,56;1,58;1,63
250,673;2,02;0,47;0,95;1,87;1,74;1,79
251,148;1,62;0,34;0,7;1,89;1,51;1,55
251,623;1,71;0,37;1,27;2,02;1,86;1,7
252,099;1,85;0,52;1,52;2,13;2,53;1,96
252,574;1,34;0,48;1,54;1,96;2,62;1,85
253,049;1,14;0,49;1,68;1,96;2,62;1,72
253,524;1,06;0,57;1,82;2;2,45;1,65
253,999;1,21;0,51;1,93;2,03;2,32;1,82
254,475;1,02;0,33;1,64;1,76;1,89;1,46
254,95;1,22;0,5;1,9;1,95;1,95;1,56
255,425;1,48;0,81;2,2;2,14;2,17;1,57
255,9;1,44;0,71;2,21;1,97;2,08;1,37
256,375;1,49;0,72;2,32;2,03;2,16;1,45
256,85;1,61;0,87;2,18;2,16;2,02;1,41
257,325;1,45;0,67;2,14;1,94;1,64;1,47
257,8;1,56;0,44;2,11;1,84;1,45;1,43
258,275;1,76;0,47;2,35;2,05;1,39;1,57
258,75;1,67;0,44;2,41;1,85;1,42;1,61
259,225;1,28;0,21;2,1;1,6;1,28;1,24
259,699;1,5;0,43;2,29;1,74;1,5;1,37
260,174;1,32;0,26;2;1,56;1,45;1,31
260,649;1,07;0,15;2;1,5;1,29;1,26
261,124;1,17;0,23;2,23;1,72;1,23;1,4
261,599;1,1;0,2;2,13;1,64;1,11;1,3
262,073;1,16;0,25;2,24;1,48;0,99;1,32
262,548;1,3;0,34;2,25;1,57;1,05;1,2
263,023;1,48;0,51;2,48;1,85;1,2;1,21
263,497;1,46;0,52;2,48;1,86;1,23;1,25
263,972;1,35;0,53;2,36;1,92;1,14;1,24
264,447;1,56;0,63;2,43;2,19;1,26;1,46
264,921;1,53;0,35;2,2;2,04;1,16;1,43
265,396;1,45;0,31;2,19;1,91;1,24;1,36
265,87;1,55;0,23;2,23;1,85;1,3;1,43
266,345;1,58;0,34;2,14;1,76;1,34;1,36
266,82;1,66;0,44;2,32;1,85;1,51;1,47
267,294;1,46;0,27;2,26;1,94;1,49;1,44
267,768;1,5;0,18;2,38;1,99;1,46;1,49
268,243;1,37;0,16;2,29;2,01;1,56;1,56
268,717;1,44;0,17;2,3;1,88;1,5;1,45
269,192;1,59;0,14;2,47;1,97;1,59;1,43
269,666;1,63;0,32;2,71;1,96;1,68;1,53
270,14;1,67;0,52;3,02;2,03;1,71;1,59
270,615;1,6;0,53;2,99;2,03;1,55;1,52
271,089;1,48;0,66;2,88;2,1;1,59;1,47
271,563;1,63;0,72;3,04;2,23;1,8;1,73
272,037;1,64;0,76;3,06;2,19;1,96;1,85
272,512;1,71;0,77;3,05;2,11;1,99;1,78
272,986;1,88;0,91;3,08;2,11;2,08;1,83
273,46;1,84;0,91;3,1;2,03;2,1;1,85
273,934;1,66;0,9;2,93;1,94;2,15;1,89
274,408;1,8;0,98;2,88;2,04;2,21;2,04
274,882;1,7;0,88;2,67;2,11;2,21;2,08
275,356;1,59;0,79;2,52;2,11;2,22;2,03
275,83;1,81;0,81;2,65;2,17;2,31;2
276,304;1,76;0,65;2,68;2,29;2,28;1,91
276,778;1,6;0,5;2,52;2,05;2,09;1,77
277,252;1,45;0,38;2,44;1,92;1,93;1,57
277,726;1,42;0,32;2,42;1,97;2,01;1,54
278,2;1,27;0,26;2,41;1,96;1,87;1,55
278,674;1,34;0,21;2,3;1,86;1,68;1,53
279,148;1,5;0,16;2,37;1,94;1,72;1,53
279,622;1,45;0,07;2,34;1,79;1,61;1,44
280,096;1,51;0,03;2,44;1,68;1,66;1,28
280,57;1,5;-0,02;2,51;1,8;1,77;1,31
281,043;1,55;-0,08;2,6;1,95;1,79;1,37
281,517;1,74;0,14;2,69;1,98;1,92;1,68
281,991;1,67;0,06;2,63;1,96;1,8;1,55
282,464;1,89;0,19;2,76;2,26;1,73;1,6
282,938;1,87;0,26;2,69;2,27;1,64;1,65
283,412;1,83;0,25;2,53;2,15;1,61;1,63
283,885;1,9;0,3;2,62;2,2;1,76;1,64
284,359;1,91;0,37;2,65;2,24;1,87;1,66
284,833;1,87;0,43;2,77;2,31;1,97;1,73
285,306;1,79;0,51;2,86;2,33;1,89;1,77
285,78;1,86;0,54;2,82;2,32;1,85;1,76
286,253;1,92;0,67;2,81;2,22;1,95;1,77
286,727;1,94;0,62;2,81;2,15;1,91;1,59
287,2;1,96;0,69;3,02;2,35;2,02;1,7
287,674;1,91;0,58;2,98;2,18;2,02;1,81
288,147;1,85;0,55;3,06;2,15;2,15;1,77
288,62;1,89;0,56;3,13;2,06;2,21;1,64
289,094;1,89;0,52;3,12;1,95;2,09;1,54
289,567;1,73;0,48;3,13;1,89;2;1,44
290,04;1,68;0,53;3;1,84;2,05;1,29
290,514;1,76;0,56;2,97;1,92;2,19;1,31
290,987;1,69;0,63;2,99;1,91;2,29;1,29
291,46;1,54;0,58;2,91;1,79;2,15;1,3
291,933;1,45;0,63;2,88;1,72;2,04;1,25
292,407;1,35;0,51;2,64;1,66;2,01;1,12
292,88;1,23;0,48;2,55;1,49;1,95;0,85
293,353;1,26;0,5;2,47;1,45;1,89;0,88
293,826;1,23;0,39;2,44;1,65;1,87;0,9
294,299;1,22;0,42;2,47;1,75;1,94;1,04
294,772;1,3;0,52;2,45;1,8;2;1,2
295,245;1,32;0,46;2,5;1,82;1,87;1,23
295,718;1,29;0,37;2,42;1,83;1,7;1,18
296,191;1,29;0,34;2,42;1,77;1,58;1,18
296,664;1,18;0,25;2,32;1,81;1,48;1,01
297,137;1,16;0,18;2,34;1,81;1,48;0,98
297,61;1,28;0,34;2,47;1,79;1,62;1,15
298,083;1,32;0,33;2,39;1,84;1,6;1,2
298,556;1,39;0,27;2,45;1,8;1,59;1,15
299,029;1,45;0,36;2,43;1,73;1,7;1,22
299,501;1,49;0,38;2,37;1,75;1,74;1,25
299,974;1,5;0,32;2,31;1,69;1,67;1,08
300,447;1,5;0,39;2,32;1,74;1,87;1,08
300,92;1,48;0,45;2,31;1,75;1,97;1,09
301,393;1,5;0,39;2,2;1,75;1,92;1,03
301,865;1,54;0,45;2,26;1,82;2,02;1,13
302,338;1,49;0,4;2,22;1,79;2,03;1,2
302,811;1,29;0,33;2,17;1,69;1,78;1,02
303,283;1,26;0,3;2,27;1,76;1,75;1,02
303,756;1,25;0,34;2,27;1,86;1,69;1,04
304,228;1,13;0,36;2,33;1,9;1,59;1,05
304,701;1,15;0,42;2,42;1,9;1,62;0,9
305,173;1,16;0,41;2,55;2,02;1,72;0,95
305,646;1,28;0,43;2,65;2,05;1,65;0,96
306,118;1,24;0,45;2,73;1,96;1,51;0,94
306,591;1,31;0,49;2,82;1,96;1,5;0,91
307,063;1,44;0,59;2,9;1,97;1,53;1,01
307,536;1,52;0,67;2,94;1,96;1,47;0,87
308,008;1,72;0,75;2,97;2,07;1,69;0,92
308,48;1,72;0,79;2,96;2,12;1,82;0,9
308,953;1,84;0,83;3,06;2,13;1,9;0,95
309,425;1,91;0,9;3,07;2,12;2,07;0,91
309,897;1,77;0,87;3,04;2,19;1,96;0,89
310,37;1,74;0,85;3;2,06;1,76;0,88
310,842;1,52;0,72;2,75;1,88;1,56;0,83
311,314;1,52;0,71;2,6;1,81;1,64;0,88
311,786;1,54;0,76;2,59;1,75;1,72;0,92
312,258;1,48;0,77;2,48;1,73;1,81;0,91
312,731;1,48;0,69;2,41;1,81;1,86;1
313,203;1,41;0,56;2,39;1,75;1,64;0,91
313,675;1,46;0,54;2,43;1,82;1,67;1,03
314,147;1,33;0,55;2,27;1,7;1,52;1
314,619;1,27;0,48;2,27;1,67;1,33;1,01
315,091;1,33;0,5;2,23;1,59;1,38;1,13
315,563;1,32;0,53;2,24;1,59;1,5;1,14
316,035;1,41;0,53;2,27;1,66;1,6;1,18
316,507;1,42;0,42;2,32;1,75;1,56;1,08
316,979;1,34;0,36;2,37;1,72;1,52;1,12
317,451;1,34;0,24;2,41;1,69;1,44;1,05
317,922;1,35;0,18;2,36;1,58;1,36;0,94
318,394;1,44;0,27;2,38;1,65;1,47;1,07
318,866;1,36;0,35;2,38;1,56;1,45;1,04
319,338;1,25;0,3;2,33;1,51;1,42;0,87
319,81;1,31;0,3;2,36;1,48;1,45;0,88
320,281;1,2;0,24;2,33;1,49;1,47;0,79
320,753;1,15;0,24;2,28;1,44;1,43;0,73
321,225;1,22;0,27;2,42;1,41;1,42;0,6
321,697;1,21;0,29;2,39;1,35;1,4;0,66
322,168;1,11;0,31;2,26;1,28;1,39;0,56
322,64;1,14;0,37;2,25;1,29;1,39;0,6
323,111;1,13;0,49;2,35;1,42;1,48;0,7
323,583;1,1;0,5;2,35;1,31;1,45;0,7
324,054;1,14;0,45;2,29;1,22;1,42;0,73
324,526;1,26;0,45;2,33;1,35;1,55;0,87
324,998;1,17;0,38;2,28;1,33;1,5;0,85
325,469;1,28;0,46;2,28;1,31;1,54;0,82
325,94;1,43;0,5;2,25;1,44;1,59;0,8
326,412;1,48;0,52;2,29;1,46;1,65;0,9
326,883;1,51;0,61;2,29;1,35;1,7;0,96
327,355;1,63;0,62;2,34;1,51;1,68;1,07
327,826;1,7;0,68;2,46;1,65;1,69;1,1
328,297;1,67;0,67;2,48;1,63;1,64;1,09
328,769;1,6;0,65;2,47;1,65;1,6;0,93
329,24;1,62;0,6;2,57;1,74;1,6;0,84
329,711;1,65;0,55;2,53;1,79;1,69;0,82
330,182;1,75;0,66;2,51;1,84;1,71;0,84
330,654;1,77;0,59;2,56;1,89;1,7;0,87
331,125;1,71;0,56;2,63;1,79;1,71;0,84
331,596;1,75;0,65;2,59;1,81;1,68;0,88
332,067;1,76;0,75;2,72;1,94;1,69;0,91
332,538;1,83;0,78;2,81;2;1,82;0,89
333,009;1,74;0,75;2,78;1,88;1,77;0,89
333,48;1,73;0,76;2,73;1,87;1,91;0,92
333,951;1,74;0,73;2,73;1,92;1,93;1,04
334,422;1,85;0,79;2,64;1,88;1,99;1,13
334,893;1,76;0,78;2,65;1,72;1,84;1,07
335,364;1,75;0,74;2,63;1,69;1,84;1,02
335,835;1,8;0,81;2,7;1,63;1,85;1,1
336,306;1,8;0,87;2,69;1,72;1,93;1,33
336,777;1,73;0,8;2,6;1,59;1,92;1,25
337,248;1,8;0,65;2,65;1,65;1,97;1,23
337,719;1,66;0,66;2,55;1,56;1,93;1,38
338,189;1,65;0,52;2,48;1,48;2,02;1,42
338,66;1,61;0,42;2,43;1,35;1,77;1,29
339,131;1,56;0,35;2,4;1,28;1,85;1,27
339,602;1,37;0,31;2,43;1,21;1,76;1,13
340,072;1,3;0,38;2,48;1,26;1,76;1,12
340,543;1,23;0,38;2,5;1,31;1,71;1,07
341,014;1,18;0,38;2,48;1,34;1,64;1,08
341,484;1,13;0,39;2,5;1,29;1,55;0,99
341,955;1,14;0,44;2,59;1,52;1,62;1,1
342,426;1,16;0,48;2,59;1,52;1,58;1,04
342,896;1,26;0,49;2,7;1,57;1,6;0,99
343,367;1,34;0,59;2,71;1,69;1,64;0,99
343,837;1,47;0,6;2,79;1,77;1,77;1,13
344,308;1,49;0,73;2,85;1,86;1,82;1,2
344,778;1,46;0,79;2,84;1,91;1,9;1,24
345,249;1,57;0,73;2,86;1,92;1,91;1,23
345,719;1,65;0,77;2,8;1,96;1,95;1,27
346,189;1,59;0,72;2,72;1,94;1,99;1,26
346,66;1,63;0,67;2,74;2,01;1,96;1,21
347,13;1,68;0,72;2,75;2,06;1,93;1,15
347,6;1,71;0,74;2,7;2,1;1,96;1,16
348,071;1,59;0,7;2,52;1,95;1,89;1,1
348,541;1,51;0,62;2,46;1,86;1,74;0,94
349,011;1,5;0,65;2,4;1,8;1,74;0,81
349,481;1,37;0,56;2,26;1,67;1,62;0,74
349,952;1,37;0,46;2,11;1,65;1,54;0,67
350,422;1,37;0,46;2,05;1,59;1,46;0,64
350,892;1,33;0,51;2,08;1,51;1,52;0,69
351,362;1,37;0,6;2,11;1,45;1,46;0,62
351,832;1,37;0,47;1,92;1,3;1,45;0,56
352,302;1,26;0,36;1,76;1,12;1,47;0,5
352,772;1,26;0,39;1,82;1,13;1,5;0,59
353,242;1,34;0,33;2;1,23;1,46;0,52
353,712;1,24;0,35;2,08;1,26;1,51;0,53
354,182;1,27;0,36;2,18;1,33;1,46;0,69
354,652;1,52;0,43;2,35;1,41;1,51;0,68
355,122;1,7;0,57;2,56;1,54;1,6;0,81
355,592;1,89;0,68;2,68;1,61;1,75;1,03
