Population,Source_Population,Target_Population,Frog_ID,dS,dL
Doberg,D,D,D_indiv_1,3.397372881,3.2274926
Doberg,D,D,D_indiv_2,1.260458665,2.8408782
Doberg,D,D,D_indiv_3,5.150890794,0.7166928
Doberg,D,D,D_indiv_4,4.92991659,2.9442801
Doberg,D,D,D_indiv_5,4.542008394,2.6145772
Doberg,D,D,D_indiv_6,1.892238519,2.0243444
Doberg,D,D,D_indiv_7,3.81939885,1.5262627
Doberg,D,D,D_indiv_8,2.504681908,2.8332624
Doberg,D,D,D_indiv_9,2.90399245,1.27146
Doberg,D,D,D_indiv_10,3.675508018,2.2053975
Doberg,D,D,D_indiv_11,2.476087998,1.7873236
Doberg,D,D,D_indiv_12,1.383613947,0.6530268
Doberg,D,D,D_indiv_13,5.091270989,2.4872256
Doberg,D,D,D_indiv_14,5.454849574,1.7692771
Doberg,D,L,D_indiv_1,5.890240603,1.2272287
Doberg,D,L,D_indiv_2,2.753543267,1.6014724
Doberg,D,L,D_indiv_3,7.624497126,5.168236
Doberg,D,L,D_indiv_4,7.407171881,7.3987866
Doberg,D,L,D_indiv_5,7.215716042,1.8431674
Doberg,D,L,D_indiv_6,1.669312075,2.4130425
Doberg,D,L,D_indiv_7,6.526837931,2.9288071
Doberg,D,L,D_indiv_8,5.175376654,1.6176717
Doberg,D,L,D_indiv_9,5.594195256,3.1805103
Doberg,D,L,D_indiv_10,6.365279141,2.2490372
Doberg,D,L,D_indiv_11,5.204591492,2.6618426
Doberg,D,L,D_indiv_12,4.086814489,3.7941125
Doberg,D,L,D_indiv_13,7.803208787,1.9703228
Doberg,D,L,D_indiv_14,8.11060492,2.6912126
Doberg,D,M,D_indiv_1,1.391967332,0.6224308
Doberg,D,M,D_indiv_2,2.210750577,1.0049772
Doberg,D,M,D_indiv_3,5.685926241,4.5649582
Doberg,D,M,D_indiv_4,5.419675576,6.7937493
Doberg,D,M,D_indiv_5,3.096895955,1.2363986
Doberg,D,M,D_indiv_6,3.39974146,1.8198659
Doberg,D,M,D_indiv_7,2.762048631,2.3238078
Doberg,D,M,D_indiv_8,1.681403271,1.0154938
Doberg,D,M,D_indiv_9,1.999747244,2.5775372
Doberg,D,M,D_indiv_10,2.466373973,1.6444484
Doberg,D,M,D_indiv_11,2.311810444,2.0605975
Doberg,D,M,D_indiv_12,2.203569611,3.1943535
Doberg,D,M,D_indiv_13,3.783293689,1.3636831
Doberg,D,M,D_indiv_14,3.817200416,2.0826673
Liekwegen,L,D,L_indiv_1,7.025666497,8.8360375
Liekwegen,L,D,L_indiv_2,4.244701552,14.0870536
Liekwegen,L,D,L_indiv_3,3.469926005,4.9795307
Liekwegen,L,D,L_indiv_4,5.285334463,6.386913
Liekwegen,L,D,L_indiv_5,2.061197802,4.2751052
