"","Name","code","individual","day","experiment","treatment","planed_treatment","B1","B2","B3","S1U","S1V","S1B","S1G","S1Y","S1R","S2","S3","S4","S5","S6","S7","S8","S9","S10","H1","H2","H3","H4","H5"
"X1.1","X1.1","habit1.1",1,1,"habituation","natural","light",1857.4066626446,4.63193681457507,7.17198781939895,0.170502245426943,0.19842943440436,0.240824300100993,0.262475694162794,0.216040578072042,0.333464728295573,2.80442560227911,0.188120490358324,0.0132425366770699,309.20588650695,4.61460572533648,-0.142554717122701,0.996258349383339,0.410439050845779,0.013192987731546,700,369,518,0.658124928607614,343
"X2.1","X2.1","habit2.1",2,1,"habituation","natural","dark",1422.72782837444,3.54794969669436,4.26439056052228,0.273346485948907,0.311988858819194,0.281084194041445,0.232257718701198,0.18009754904065,0.220633132848306,1.35807293675847,0.144140689494852,0.0281055667914498,54.7200948270082,1.12435997372568,-0.39955388934791,0.316904147421609,-0.230151549338188,0.00890677068184548,300,469,411,-2.27155931594163,507
"X3.1","X3.1","habit3.1",3,1,"habituation","natural","light",3167.08092101321,7.8979574090105,9.11528714822434,0.222808865489903,0.255398732375823,0.26187829069909,0.257316278956595,0.208986174514034,0.265467106195113,1.61673490994664,0.27563124105479,0.0495894828419807,192.797368580985,3.4772031975752,-0.729155635834375,0.440266136863208,0.124430590488273,0.0218325700398832,599,618,360,0.809205514087341,300
"X4.1","X4.1","habit4.1",4,1,"habituation","natural","light",1057.15977314986,2.6363086612216,3.11200576992657,0.228645577794921,0.258480554230795,0.253017735274959,0.256470452644535,0.202562909868709,0.269098178167453,1.48959397684325,0.146176736447764,0.0150355700628602,71.3755450589991,1.02284199892265,-0.270035156511583,0.387982641777875,0.262443576976704,0.00583354019362481,700,381,465,0.62803409478442,456
"X5.1","X5.1","habit5.1",5,1,"habituation","natural","light",1463.18605233807,3.64884302328695,4.65372741107524,0.190971898518854,0.224375461416096,0.266572036200676,0.257774843025962,0.211456516599397,0.292217092084633,2.35824727577897,0.15972015654611,0.01955172894922,146.928497873375,2.6803434242166,-0.57660078531637,0.734573509222134,0.206883444326611,0.0143621821455885,700,480,410,0.870401968944667,406
"X6.1","X6.1","habit6.1",6,1,"habituation","natural","light",1350.67257090858,3.36826077533312,4.91578962644291,0.150822708101275,0.177431901680987,0.24739481859746,0.281219996663769,0.225874195717429,0.327957517643544,3.65103452430104,0.181074876762608,0.0179077630061801,251.598772712832,3.56937956274076,-0.512529879134853,1.05970998115125,0.353581770901442,0.0189770351977402,700,568,447,0.860837363155967,343
"X7.1","X7.1","habit7.1",7,1,"habituation","natural","dark",2065.69695797631,5.15136398497833,6.09537060816565,0.241143815473912,0.27495894363887,0.253163974294167,0.243555594477037,0.20804240528129,0.269481592960286,1.39623439693837,0.146148794824246,0.0359871944596897,111.574059028848,1.72979229156535,-0.743381716355814,0.33579306308184,0.21134569380801,0.012084250259341,700,618,351,0.187438710275657,300
"X8.1","X8.1","habit8.1",8,1,"habituation","natural","natural",1417.0768927144,3.53385758781646,5.24510985658249,0.172980733469598,0.200505195650339,0.239890645109447,0.265421338725454,0.213833250558291,0.328902690495534,2.5304802235658,0.183187376640738,0.0161394240760999,231.771315720897,3.17233734181002,-0.175224388404323,0.897698128172216,0.382088472398996,0.0144883307828925,700,469,511,0.676943856196434,506
"X9.1","X9.1","habit9.1",9,1,"habituation","natural","light",826.453083256783,2.06098025749821,2.93191587594474,0.190494990302037,0.217488316013991,0.234901636994268,0.267259809110558,0.212657762237577,0.31439641489807,2.11013745992492,0.173888640577937,0.0149654536916102,121.425938119503,1.54247280333607,0.261602614044983,0.74841706887986,0.397980675037964,0.0112004009863322,700,568,584,0.6379350743372,506
"X10.1","X10.1","habit10.1",10,1,"habituation","natural","natural",1416.1712287585,3.53159907421073,4.89473494287776,0.214549029050843,0.247236582264937,0.24205290400505,0.248299053270776,0.216040404233595,0.302505746310594,1.72817162192152,0.167954871058726,0.0146760351683799,149.355887546855,2.06241500382252,0.203387605318038,0.583988997755484,0.371220631469253,0.00857064306900641,700,618,572,0.391875545677009,569
