ID,patch1,patch2,dS,dL,group,treatment,individual,day
3,natural,habit1.1,0.975702109,9.0022134,habituation,light,1,1
224,light,habit1.1,2.493265588,11.1782617,habituation,light,1,1
444,dark,habit1.1,1.875859935,24.2194409,habituation,light,1,1
4,natural,habit2.1,2.706904113,3.626676,habituation,dark,2,1
225,light,habit2.1,1.153986335,16.5537991,habituation,dark,2,1
445,dark,habit2.1,3.415234164,18.8439035,habituation,dark,2,1
5,natural,habit3.1,1.097027284,13.2656159,habituation,light,3,1
226,light,habit3.1,0.742690447,6.9148592,habituation,light,3,1
446,dark,habit3.1,2.287933346,28.4828434,habituation,light,3,1
6,natural,habit4.1,1.218748765,2.0125645,habituation,light,4,1
227,light,habit4.1,0.82638364,18.1679106,habituation,light,4,1
447,dark,habit4.1,2.292403315,17.2297921,habituation,light,4,1
7,natural,habit5.1,0.131981537,6.0246793,habituation,light,5,1
228,light,habit5.1,1.453831727,14.1557958,habituation,light,5,1
448,dark,habit5.1,1.606254233,21.2419068,habituation,light,5,1
8,natural,habit6.1,1.538859823,5.9623785,habituation,light,6,1
229,light,habit6.1,3.021187514,14.2180966,habituation,light,6,1
449,dark,habit6.1,1.602196001,21.179606,habituation,light,6,1
9,natural,habit7.1,1.575221573,9.0953422,habituation,dark,7,1
230,light,habit7.1,1.21932732,11.085133,habituation,dark,7,1
450,dark,habit7.1,2.960457214,24.3125697,habituation,dark,7,1
10,natural,habit8.1,0.894115329,6.1858202,habituation,natural,8,1
231,light,habit8.1,2.348477532,13.9946549,habituation,natural,8,1
451,dark,habit8.1,1.816231088,21.4030477,habituation,natural,8,1
11,natural,habit9.1,0.935177996,0.4837551,habituation,light,9,1
232,light,habit9.1,2.116327125,19.69672,habituation,light,9,1
452,dark,habit9.1,1.997120371,15.7009826,habituation,light,9,1
12,natural,habit10.1,1.14635459,6.013987,habituation,natural,10,1
233,light,habit10.1,1.913234713,14.1664881,habituation,natural,10,1
453,dark,habit10.1,2.668048777,21.2312146,habituation,natural,10,1
13,natural,habit11.1,0.972197547,1.9869362,habituation,natural,11,1
234,light,habit11.1,0.720751723,18.1935389,habituation,natural,11,1
454,dark,habit11.1,1.675693997,17.2041637,habituation,natural,11,1
14,natural,habit12.1,1.620532068,10.3688442,habituation,light,12,1
235,light,habit12.1,3.167849881,9.8116309,habituation,light,12,1
455,dark,habit12.1,1.914271046,25.5860718,habituation,light,12,1
15,natural,habit13.1,0.533777224,6.9932602,habituation,dark,13,1
236,light,habit13.1,1.322738342,13.1872149,habituation,dark,13,1
456,dark,habit13.1,1.938289711,22.2104877,habituation,dark,13,1
16,natural,habit14.1,0.725892287,6.8199573,habituation,dark,14,1
237,light,habit14.1,0.938339088,13.3605178,habituation,dark,14,1
457,dark,habit14.1,1.812322641,22.0371848,habituation,dark,14,1
17,natural,habit15.1,1.384283191,9.0476899,habituation,dark,15,1
238,light,habit15.1,2.88099376,11.1327852,habituation,dark,15,1
458,dark,habit15.1,1.719083298,24.2649174,habituation,dark,15,1
18,natural,habit16.1,0.640132871,12.2537589,habituation,natural,16,1
239,light,habit16.1,2.147864681,7.9267162,habituation,natural,16,1
459,dark,habit16.1,1.82737805,27.4709865,habituation,natural,16,1
19,natural,habit17.1,1.349225764,14.6445142,habituation,light,17,1
240,light,habit17.1,2.900838938,5.5359609,habituation,light,17,1
460,dark,habit17.1,1.75150841,29.8617417,habituation,light,17,1
20,natural,habit18.1,0.710989885,12.6784642,habituation,dark,18,1
