"patch1","patch2","dS","dL"
"natural","light",1.57003725057704,20.1804751
"natural","dark",1.52757524366761,15.2172275
"natural","habit1.1",0.975702109275427,9.0022134
"natural","habit2.1",2.70690411259116,3.626676
"natural","habit3.1",1.09702728426655,13.2656159
"natural","habit4.1",1.21874876500395,2.0125645
"natural","habit5.1",0.131981537267183,6.0246793
"natural","habit6.1",1.53885982287059,5.9623785
"natural","habit7.1",1.5752215726524,9.0953422
"natural","habit8.1",0.894115328669976,6.1858202
"natural","habit9.1",0.935177996379303,0.4837551
"natural","habit10.1",1.14635458986525,6.013987
"natural","habit11.1",0.972197547364398,1.9869362
"natural","habit12.1",1.62053206837695,10.3688442
"natural","habit13.1",0.533777224341829,6.9932602
"natural","habit14.1",0.72589228730976,6.8199573
"natural","habit15.1",1.38428319097598,9.0476899
"natural","habit16.1",0.640132870920903,12.2537589
"natural","habit17.1",1.34922576376954,14.6445142
"natural","habit18.1",0.710989885207802,12.6784642
"natural","habit19.1",0.631657385071775,6.6724874
"natural","habit20.1",0.823944324151205,9.6050639
"natural","habit21.1",0.921821034148921,10.1323772
"natural","habit22.1",1.50256452375092,5.8568345
"natural","habit1.2",1.61801454513155,6.6266788
"natural","habit2.2",0.74695480359075,1.1146765
"natural","habit3.2",1.0627751651682,7.3485201
"natural","habit4.2",1.24199631147785,5.7742936
"natural","habit5.2",3.223080366243,9.686605
"natural","habit6.2",2.36008571476306,9.8888861
"natural","habit7.2",1.97316527107633,10.0483804
"natural","habit8.2",3.44401914806076,11.0250067
"natural","habit9.2",1.06003886798711,4.8822108
"natural","habit10.2",2.26641707722177,6.943095
"natural","habit11.2",3.33339893577032,1.2631424
"natural","habit12.2",1.89240832662495,6.3510446
"natural","habit13.2",2.49361465367451,7.4912658
"natural","habit14.2",0.972365618716857,1.5681371
"natural","habit15.2",4.90824688873611,8.937213
"natural","habit16.2",1.5013209916745,8.2579472
"natural","habit17.2",3.34170229179458,17.4850401
"natural","habit18.2",5.18433353384472,3.6528102
"natural","habit19.2",3.33878360590613,3.9920344
"natural","habit20.2",2.4426919683519,8.6528244
"natural","habit21.2",2.97039084531182,11.6753797
"natural","habit22.2",3.02107872349991,11.4256561
"natural","habit1.3",1.91529013891077,10.3353066
"natural","habit2.3",1.36348286025579,8.913754
"natural","habit3.3",1.14352337406941,18.0563772
"natural","habit4.3",1.64281051355808,13.7517134
"natural","habit5.3",2.58015031437898,10.1547958
"natural","habit6.3",2.55358565254119,11.1698536
"natural","habit7.3",1.70560951229929,8.8897401
"natural","habit8.3",2.06264951040139,9.7766839
"natural","habit9.3",1.58878523095849,3.7825398
"natural","habit10.3",1.60567981612821,9.525074
"natural","habit11.3",2.11498351486714,8.6506071
"natural","habit12.3",2.2559186812517,13.4751226
"natural","habit13.3",4.05711885845418,7.6023995
"natural","habit14.3",2.06272351321631,6.4182793
"natural","habit15.3",3.07099986075226,12.0421179
"natural","habit16.3",3.95755440864752,10.960387
"natural","habit17.3",2.05738139219992,17.2953153
"natural","habit18.3",3.11412820087359,10.4721603
"natural","habit19.3",2.31733996588873,11.8698475
"natural","habit20.3",3.13463343634262,8.3579879
"natural","habit21.3",1.66536284642317,11.7857967
"natural","habit22.3",3.54047960591721,10.1120569
"natural","habit1.4",2.62496583507418,11.1798846
"natural","habit2.4",1.90369395043582,7.1773524
"natural","habit3.4",1.29640414580597,11.1941161
"natural","habit4.4",3.56506693815783,6.2775749
"natural","habit5.4",2.75375922968082,11.2793775
"natural","habit6.4",2.5433984082913,11.6586334
"natural","habit7.4",1.56921444310709,9.3499832
"natural","habit8.4",2.61208261256429,12.7160472
"natural","habit9.4",3.06639858843422,10.6726455
"natural","habit10.4",2.08831664221309,8.4415869
"natural","habit11.4",2.08437955103957,6.8636307
"natural","habit12.4",3.07433999305208,12.885841
"natural","habit13.4",2.20956523908795,13.2607071
"natural","habit14.4",2.10177985182692,8.6201559
"natural","habit15.4",4.87212229465799,11.2980139
"natural","habit16.4",2.47070394841096,10.7560464
"natural","habit17.4",1.87905625271633,11.6146193
"natural","habit18.4",3.59692950214882,9.674431
"natural","habit19.4",3.50570493253824,10.6021355
"natural","habit20.4",3.596265543449,12.2260348
"natural","habit21.4",3.58920166763897,14.215111
"natural","habit22.4",2.10993901135554,15.3026702
"natural","exp1.7",3.31679615322041,13.4222715
"natural","exp2.7",1.63626515028609,5.6802646
"natural","exp3.7",2.88339123935097,17.5237935
"natural","exp4.7",3.31572161481497,13.9470278
"natural","exp5.7",1.19270236513338,21.4484631
"natural","exp6.7",1.50875082310392,16.6733486
"natural","exp7.7",2.2924561580485,14.8227846
"natural","exp8.7",1.97746045224978,15.4034765
"natural","exp9.7",3.10933869515214,13.2512016
"natural","exp10.7",0.748526306845419,11.4677102
"natural","exp11.7",3.32011440765935,12.2433679
"natural","exp12.7",1.57983348905241,15.435927
"natural","exp13.7",1.72574483136032,12.8913826
"natural","exp14.7",1.26181997741191,10.0086326
"natural","exp15.7",5.83312247814875,10.8308957
"natural","exp16.7",3.75336202303863,8.0041296
"natural","exp17.7",2.71124726725317,16.1996363
"natural","exp18.7",1.80920159193647,6.8386438
"natural","exp19.7",2.44712582305895,11.9109217
"natural","exp20.7",3.19184528170154,6.7912165
"natural","exp21.7",4.51980888642701,14.8233866
"natural","exp22.7",4.26099679478382,10.5519031
"natural","exp1.8",2.80733346446224,16.1659291
"natural","exp2.8",1.15394095522967,6.777793
"natural","exp3.8",2.00208193746774,16.4475795
"natural","exp4.8",3.11903534425721,11.9893293
"natural","exp5.8",3.94543800463292,15.0027912
"natural","exp6.8",1.27166409918562,15.9895242
"natural","exp7.8",2.56285697066064,9.9989166
"natural","exp8.8",3.7492786909826,10.830493
"natural","exp9.8",3.39035911209314,14.3910397
"natural","exp10.8",1.228557728477,9.0580382
"natural","exp11.8",2.30680090104264,6.4041373
"natural","exp12.8",2.10913896266887,15.6146814
"natural","exp13.8",3.42673226869325,9.6708548
"natural","exp14.8",1.7151849900132,9.5982109
"natural","exp15.8",2.98114504538275,13.4034512
"natural","exp16.8",4.58778072996377,8.08009
"natural","exp17.8",3.4628153444867,15.8619677
"natural","exp18.8",6.15830299818738,0.4948902
"natural","exp19.8",2.14068148293168,6.9682379
"natural","exp20.8",3.70848331513889,10.4433072
"natural","exp21.8",2.88450079607971,11.5666299
"natural","exp22.8",5.13521979861589,11.6081955
"natural","exp1.9",3.88307928205311,17.2939184
"natural","exp2.9",1.04497788336539,2.9825132
"natural","exp3.9",3.36993554281282,15.2654033
"natural","exp4.9",2.85204690774866,14.3028602
"natural","exp5.9",4.26557875311223,11.4778222
"natural","exp6.9",4.30662708460517,14.4448966
"natural","exp7.9",2.99225248402568,8.3317739
"natural","exp8.9",4.39973892333949,11.6572707
"natural","exp9.9",2.8927075381478,11.5323975
"natural","exp10.9",1.09858193157182,11.6209095
"natural","exp11.9",1.992442456429,6.7665116
"natural","exp12.9",3.41206789586543,12.8913645
"natural","exp13.9",1.73963320170529,11.5406419
"natural","exp14.9",0.707494503752636,4.5467897
"natural","exp15.9",3.08533063335745,11.1481863
"natural","exp16.9",3.22513202779709,9.2232467
"natural","exp17.9",2.02453077250956,17.4771318
"natural","exp18.9",2.55613420937846,4.7222459
"natural","exp19.9",2.97315181445331,9.0954228
"natural","exp20.9",1.62997472179894,9.0003998
"natural","exp21.9",4.54715766444999,12.5405005
"natural","exp22.9",3.63337057540727,11.5194404
"natural","exp1.10",1.0178372342574,19.5733069
"natural","exp2.10",1.86075238297767,5.2588018
"natural","exp3.10",1.0440880742503,18.5682524
"natural","exp4.10",2.13460641598703,16.2855245
"natural","exp5.10",2.38236980081203,15.671337
"natural","exp6.10",1.65920080271945,15.2839889
"natural","exp7.10",1.56611495833,8.1166393
"natural","exp8.10",4.00456452250616,11.012144
"natural","exp9.10",2.86893517710123,14.9695547
"natural","exp10.10",1.21721706161198,8.163952
"natural","exp11.10",1.16828296999486,12.08568
"natural","exp12.10",1.7049110231347,15.1491085
"natural","exp13.10",1.59983355355943,6.7234796
"natural","exp14.10",1.68808562727127,3.2237049
"natural","exp15.10",1.30330086833961,11.2239417
"natural","exp16.10",3.09759181316628,10.7965719
"natural","exp17.10",4.5131338854979,14.4704514
"natural","exp18.10",0.900063727259034,10.539349
"natural","exp19.10",1.11736413803279,2.9747116
"natural","exp20.10",2.89849906907893,13.3625344
"natural","exp21.10",2.54732079674298,12.4662468
"natural","exp22.10",4.20890527680246,11.5473383
"natural","exp1.11",3.26210781788186,12.9547125
"natural","exp2.11",1.05956292238424,2.6267289
"natural","exp3.11",1.3978243837319,20.1697089
"natural","exp4.11",1.06027509919548,14.1409103
"natural","exp5.11",1.21018018474874,15.7993533
"natural","exp6.11",2.89262494705,13.4576491
"natural","exp7.11",1.47698672898212,4.0747885
"natural","exp8.11",1.65731190659886,10.1554899
"natural","exp9.11",2.08743213110132,10.7306204
"natural","exp10.11",0.766258203671971,6.5127195
"natural","exp11.11",0.970685411293814,6.8715773
"natural","exp12.11",1.80153225568956,12.6053906
"natural","exp13.11",1.89729698838683,11.3425092
"natural","exp14.11",1.73795941766933,2.7216989
"natural","exp15.11",1.72615119527488,7.0023337
"natural","exp16.11",1.13300708053712,7.0823823
"natural","exp17.11",1.65926603783812,15.1765694
"natural","exp18.11",2.41142111976343,7.1646605
"natural","exp19.11",1.97727103979747,5.9551183
"natural","exp20.11",1.328673181697,6.9173917
"natural","exp21.11",1.04751115140704,11.9022195
"natural","exp22.11",3.51265008224469,14.0119863
"natural","exp1.14",3.76107638364897,12.1374611
"natural","exp2.14",1.77154982582965,2.2823473
"natural","exp3.14",1.8544690612505,11.7523053
"natural","exp4.14",3.96592371616694,11.421019
"natural","exp5.14",5.08567494826393,13.892181
"natural","exp6.14",2.50460622644989,13.5020815
"natural","exp7.14",2.33421136803587,1.6086879
"natural","exp8.14",4.66272643188918,9.1065543
"natural","exp9.14",2.54562899414165,5.1397812
"natural","exp10.14",0.77684297922258,7.6496917
"natural","exp11.14",1.63928968595741,6.5358468
"natural","exp12.14",3.58939735109343,10.5197829
"natural","exp13.14",2.2601337539079,2.9102357
"natural","exp14.14",1.40910453595132,1.1416863
"natural","exp15.14",4.60036802010918,4.1677756
"natural","exp16.14",3.4323985269165,8.0882282
"natural","exp17.14",4.98001939320969,12.0346934
"natural","exp18.14",1.99204866903608,1.6709272
"natural","exp19.14",1.77177050539597,1.2046352
