patch1,patch2,dS,dL,group,treatment,individual,day
substrate_natural,habit1.1,0.97374017,2.4800983,habituation,light,1,1
substrate_natural,habit2.1,2.678615061,1.3141222,habituation,dark,2,1
substrate_natural,habit3.1,1.106404171,3.9383004,habituation,light,3,1
substrate_natural,habit4.1,1.237013689,0.7197989,habituation,light,4,1
substrate_natural,habit5.1,0.22570256,1.7123106,habituation,light,5,1
substrate_natural,habit6.1,1.494187072,1.7079751,habituation,light,6,1
substrate_natural,habit7.1,1.587481073,2.5505364,habituation,dark,7,1
substrate_natural,habit8.1,0.946986541,1.7031099,habituation,natural,8,1
substrate_natural,habit9.1,1.129232407,0.1128426,habituation,light,9,1
substrate_natural,habit10.1,1.244792269,1.5092847,habituation,natural,10,1
substrate_natural,habit11.1,1.042575504,0.6890098,habituation,natural,11,1
substrate_natural,habit12.1,1.543106866,2.9052524,habituation,light,12,1
substrate_natural,habit13.1,0.753363785,1.8911082,habituation,dark,13,1
substrate_natural,habit14.1,0.753812436,2.0574631,habituation,dark,14,1
substrate_natural,habit15.1,1.399733092,2.6073778,habituation,dark,15,1
substrate_natural,habit16.1,0.658431511,3.4511203,habituation,natural,16,1
substrate_natural,habit17.1,1.31017942,4.1683835,habituation,light,17,1
substrate_natural,habit18.1,0.825455908,3.619488,habituation,dark,18,1
substrate_natural,habit19.1,0.775470605,1.9905556,habituation,dark,19,1
substrate_natural,habit20.1,0.845132964,2.8255783,habituation,natural,20,1
substrate_natural,habit21.1,0.950538544,2.8227657,habituation,natural,21,1
substrate_natural,habit22.1,1.626213722,1.5869842,habituation,dark,22,1
substrate_natural,habit1.2,1.78444461,1.6104907,habituation,light,1,2
substrate_natural,habit2.2,0.847359795,0.2839008,habituation,dark,2,2
substrate_natural,habit3.2,1.203486554,1.9950947,habituation,light,3,2
substrate_natural,habit4.2,1.453483296,1.5265395,habituation,light,4,2
substrate_natural,habit5.2,3.36213739,2.4900411,habituation,light,5,2
substrate_natural,habit6.2,2.527984557,2.5284289,habituation,light,6,2
substrate_natural,habit7.2,2.173384594,2.6336835,habituation,dark,7,2
substrate_natural,habit8.2,3.610101805,2.7826671,habituation,natural,8,2
substrate_natural,habit9.2,1.222325173,1.2666127,habituation,light,9,2
substrate_natural,habit10.2,2.390300052,1.7165794,habituation,natural,10,2
substrate_natural,habit11.2,3.391708268,0.0446363,habituation,natural,11,2
substrate_natural,habit12.2,2.11075572,1.615363,habituation,light,12,2
substrate_natural,habit13.2,2.687055162,1.8173325,habituation,dark,13,2
substrate_natural,habit14.2,1.089437803,0.2471956,habituation,dark,14,2
substrate_natural,habit15.2,5.135151054,2.0006749,habituation,dark,15,2
substrate_natural,habit16.2,1.696705553,2.1889714,habituation,natural,16,2
substrate_natural,habit17.2,3.470699043,4.7877432,habituation,light,17,2
substrate_natural,habit18.2,5.332865773,0.41861,habituation,dark,18,2
substrate_natural,habit19.2,3.523637778,0.7600716,habituation,dark,19,2
substrate_natural,habit20.2,2.572644579,2.2177009,habituation,natural,20,2
substrate_natural,habit21.2,3.222885641,2.9348288,habituation,natural,21,2
substrate_natural,habit22.2,3.249224171,2.8954895,habituation,dark,22,2
substrate_natural,habit1.3,2.033580342,2.6764795,habituation,light,1,3
substrate_natural,habit2.3,1.519427532,2.4342224,habituation,dark,2,3
substrate_natural,habit3.3,1.299827977,5.1538197,habituation,light,3,3
substrate_natural,habit4.3,1.785528027,3.7642495,habituation,light,4,3
substrate_natural,habit5.3,2.758671817,2.5391306,habituation,light,5,3
substrate_natural,habit6.3,2.672350913,2.8716739,habituation,light,6,3
substrate_natural,habit7.3,1.816608857,2.2537888,habituation,dark,7,3
substrate_natural,habit8.3,2.18132865,2.5341871,habituation,natural,8,3
substrate_natural,habit9.3,1.741743882,0.8102391,habituation,light,9,3
substrate_natural,habit10.3,1.760795345,2.4610985,habituation,natural,10,3
substrate_natural,habit11.3,2.26724805,2.0918478,habituation,natural,11,3
substrate_natural,habit12.3,2.410690655,3.5627679,habituation,light,12,3
substrate_natural,habit13.3,4.16855807,1.6777438,habituation,dark,13,3
substrate_natural,habit14.3,2.169235249,1.482741,habituation,dark,14,3
substrate_natural,habit15.3,3.238429921,3.0763292,habituation,dark,15,3
substrate_natural,habit16.3,4.19936641,2.6084449,habituation,natural,16,3
substrate_natural,habit17.3,2.20011517,4.8054216,habituation,light,17,3
substrate_natural,habit18.3,3.188424029,2.6029165,habituation,dark,18,3
substrate_natural,habit19.3,2.46612484,3.0370443,habituation,dark,19,3
substrate_natural,habit20.3,3.332067244,2.011024,habituation,natural,20,3
substrate_natural,habit21.3,1.819845786,3.1102396,habituation,natural,21,3
substrate_natural,habit22.3,3.640652617,2.5511494,habituation,dark,22,3
substrate_natural,habit1.4,2.846201705,2.8246413,habituation,light,1,4
substrate_natural,habit2.4,2.031449391,1.9481192,habituation,dark,2,4
substrate_natural,habit3.4,1.395261879,3.0848386,habituation,light,3,4
substrate_natural,habit4.4,3.696496156,1.3729918,habituation,light,4,4
substrate_natural,habit5.4,2.947654238,2.9981609,habituation,light,5,4
substrate_natural,habit6.4,2.715927205,3.0578669,habituation,light,6,4
substrate_natural,habit7.4,1.740529108,2.4503983,habituation,dark,7,4
substrate_natural,habit8.4,2.810661346,3.2644198,habituation,natural,8,4
substrate_natural,habit9.4,3.304281571,2.7302563,habituation,light,9,4
substrate_natural,habit10.4,2.205814008,2.1360415,habituation,natural,10,4
substrate_natural,habit11.4,2.277773431,1.6984459,habituation,natural,11,4
substrate_natural,habit12.4,3.270972118,3.3863081,habituation,light,12,4
substrate_natural,habit13.4,2.310637499,3.5635323,habituation,dark,13,4
substrate_natural,habit14.4,2.280014862,2.198661,habituation,dark,14,4
substrate_natural,habit15.4,5.107106242,2.783724,habituation,dark,15,4
substrate_natural,habit16.4,2.620146367,2.7928234,habituation,natural,16,4
substrate_natural,habit17.4,2.007565724,3.2051243,habituation,light,17,4
substrate_natural,habit18.4,3.696484056,2.2668757,habituation,dark,18,4
substrate_natural,habit19.4,3.686436655,2.6524457,habituation,dark,19,4
substrate_natural,habit20.4,3.723864694,3.1347683,habituation,natural,20,4
substrate_natural,habit21.4,3.822178991,3.5815357,habituation,natural,21,4
substrate_natural,habit22.4,2.324653222,4.1623818,habituation,dark,22,4
